,fetched_date,domain,http_code,user_agent,disallow_count,allow_count
260,2023-04-02T11:08:35Z,nouabook.ma,200,,0.0,0.0
261,2023-04-02T10:54:47Z,nrecords.org,404,,,
262,2023-04-02T11:45:31Z,offbalancedancewear.de,200,,0.0,0.0
263,2023-04-02T11:45:31Z,offbalancedancewear.de,200,*,17.0,0.0
264,2023-04-02T10:58:18Z,ogawadou.com,404,,,
265,2023-04-02T12:06:41Z,oldgreenwichfarmersmarket.com,406,,,
266,2023-04-02T10:53:30Z,osago-nadom.ru,200,,0.0,0.0
267,2023-04-02T12:59:08Z,outattestation.webkicks.de,404,,,
268,2023-04-02T11:14:28Z,painandinkdepartment.com,404,,,
269,2023-04-02T11:37:50Z,palacebahia.com,301,,,
270,2023-04-02T10:53:05Z,pastificioremelli.it,200,,0.0,0.0
271,2023-04-02T10:53:05Z,pastificioremelli.it,200,*,1.0,1.0
272,2023-04-02T10:53:48Z,persianasytoldosexpress.es,302,,,
273,2023-04-02T10:57:10Z,photoabs.ca,200,,0.0,0.0
274,2023-04-02T10:57:10Z,photoabs.ca,200,Googlebot,1.0,0.0
275,2023-04-02T10:57:10Z,photoabs.ca,200,Baiduspider,1.0,0.0
276,2023-04-02T10:57:10Z,photoabs.ca,200,YandexBot,1.0,0.0
277,2023-04-02T10:57:10Z,photoabs.ca,200,ichiro,1.0,0.0
278,2023-04-02T10:57:10Z,photoabs.ca,200,sogou spider,1.0,0.0
279,2023-04-02T10:57:10Z,photoabs.ca,200,Sosospider,1.0,0.0
280,2023-04-02T10:57:10Z,photoabs.ca,200,YoudaoBot,1.0,0.0
281,2023-04-02T10:57:10Z,photoabs.ca,200,YetiBot,1.0,0.0
282,2023-04-02T10:57:10Z,photoabs.ca,200,bingbot,2.0,0.0
283,2023-04-02T10:57:10Z,photoabs.ca,200,rdfbot,1.0,0.0
284,2023-04-02T10:57:10Z,photoabs.ca,200,Seznambot,1.0,0.0
285,2023-04-02T10:57:10Z,photoabs.ca,200,ia_archiver,1.0,0.0
286,2023-04-02T10:57:10Z,photoabs.ca,200,Mediapartners-Google,1.0,0.0
287,2023-04-02T10:54:54Z,popmixmedia.com,301,,,
288,2023-04-02T11:56:51Z,por.filtroscastello.com,301,,,
289,2023-04-02T11:23:21Z,preciousanngell.blogspot.com,200,,0.0,0.0
290,2023-04-02T11:23:21Z,preciousanngell.blogspot.com,200,Mediapartners-Google,1.0,0.0
291,2023-04-02T11:23:21Z,preciousanngell.blogspot.com,200,*,1.0,1.0
292,2023-04-02T10:55:59Z,privacytest.vandfam.net,404,,,
293,2023-04-02T10:52:57Z,propertyplanet.city,200,,0.0,0.0
294,2023-04-02T10:52:57Z,propertyplanet.city,200,*,1.0,0.0
295,2023-04-02T10:52:57Z,propertyplanet.city,200,MJ12bot,1.0,0.0
296,2023-04-02T10:52:57Z,propertyplanet.city,200,rogerbot,1.0,0.0
297,2023-04-02T10:52:57Z,propertyplanet.city,200,dotbot,1.0,0.0
298,2023-04-02T10:55:12Z,qq820be.com,301,,,
299,2023-04-02T12:48:31Z,quiz.breakingintobaikonur.com,301,,,
300,2023-04-02T12:28:38Z,raghadalraddadi.com,302,,,
301,2023-04-02T12:38:01Z,rapidautoworks.com,200,,0.0,0.0
